Name,Reason,"Number of Occurrences"
"Kansas City, MO: Kansas City International",Weather,30
"Hartford, CT: Bradley International",Weather,15
"Denver, CO: Denver International",Weather,189
"Las Vegas, NV: McCarran International","National Air System",137
"Washington, DC: Washington Dulles International",Carrier,26
"Charleston, SC: Charleston AFB/International",Weather,26
"Orlando, FL: Orlando International",Weather,88
"New Orleans, LA: Louis Armstrong New Orleans International",Weather,41
"Newark, NJ: Newark Liberty International",Weather,316
"Houston, TX: George Bush Intercontinental/Houston",Weather,74
"Jacksonville, FL: Jacksonville International",Weather,19
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Weather,535
"Miami, FL: Miami International",Weather,61
"Nashville, TN: Nashville International",Weather,53
"Cleveland, OH: Cleveland-Hopkins International",Weather,39
"Austin, TX: Austin - Bergstrom International",Weather,63
"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Weather,450
"Washington, DC: Ronald Reagan Washington National",Weather,155
"New York, NY: LaGuardia",Weather,109
"Minneapolis, MN: Minneapolis-St Paul International",Weather,88
"Madison, WI: Dane County Regional-Truax Field",Weather,10
"Indianapolis, IN: Indianapolis International",Weather,35
"Columbus, OH: John Glenn Columbus International",Weather,38
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Weather,53
"Wichita, KS: Wichita Dwight D Eisenhower National",Weather,7
"Grand Rapids, MI: Gerald R. Ford International",Weather,13
"Atlanta, GA: Hartsfield-Jackson Atlanta International",Carrier,290
"Burlington, VT: Burlington International",Weather,13
"Buffalo, NY: Buffalo Niagara International",Weather,16
"Los Angeles, CA: Los Angeles International",Carrier,126
"Anchorage, AK: Ted Stevens Anchorage International",Weather,33
"Boston, MA: Logan International",Carrier,76
"Detroit, MI: Detroit Metro Wayne County",Carrier,104
"Lihue, HI: Lihue Airport",Carrier,18
"Honolulu, HI: Daniel K Inouye International",Carrier,58
"Mission/McAllen/Edinburg, TX: McAllen Miller International",Weather,5
"Albany, NY: Albany International",Weather,11
"Cedar Rapids/Iowa City, IA: The Eastern Iowa",Weather,10
"Jackson, WY: Jackson Hole",Carrier,2
"Memphis, TN: Memphis International",Weather,20
"Des Moines, IA: Des Moines International",Weather,7
"Greer, SC: Greenville-Spartanburg International",Weather,7
"Kona, HI: Ellison Onizuka Kona International at Keahole",Carrier,13
"Myrtle Beach, SC: Myrtle Beach International",Weather,15
"Atlantic City, NJ: Atlantic City International",Weather,11
"Burbank, CA: Bob Hope",Weather,13
"Charlotte, NC: Charlotte Douglas International",Weather,85
"Manchester, NH: Manchester-Boston Regional",Weather,6
"Boise, ID: Boise Air Terminal",Carrier,8
"Milwaukee, WI: General Mitchell International",Weather,14
"Dallas, TX: Dallas Love Field",Weather,115
"Houston, TX: William P Hobby",Weather,27
"Chicago, IL: Chicago Midway International",Weather,44
"Amarillo, TX: Rick Husband Amarillo International",Weather,13
"Birmingham, AL: Birmingham-Shuttlesworth International",Weather,9
"Colorado Springs, CO: City of Colorado Springs Municipal",Weather,14
"El Paso, TX: El Paso International",Weather,12
"Lubbock, TX: Lubbock Preston Smith International",Weather,4
"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",Weather,14
"Midland/Odessa, TX: Midland International Air and Space Port",Weather,9
"Hilo, HI: Hilo International",Carrier,11
"Long Beach, CA: Long Beach Airport","National Air System",3
"Montrose/Delta, CO: Montrose Regional",Weather,2
"Albuquerque, NM: Albuquerque International Sunport",Carrier,10
"White Plains, NY: Westchester County",Weather,17
"Liberal, KS: Liberal Mid-America Regional",Weather,2
"Aspen, CO: Aspen Pitkin County Sardy Field",Weather,33
"Columbia, SC: Columbia Metropolitan",Weather,8
"Charleston/Dunbar, WV: Yeager",Weather,9
"Duluth, MN: Duluth International",Weather,9
"Decatur, IL: Decatur Airport",Weather,3
"Fort Dodge, IA: Fort Dodge Regional",Weather,2
"Mason City, IA: Mason City Municipal",Weather,2
"Hancock/Houghton, MI: Houghton County Memorial",Weather,5
"Lexington, KY: Blue Grass",Weather,8
"Moline, IL: Quad City International",Weather,8
"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",Weather,7
"Fort Wayne, IN: Fort Wayne International",Weather,5
"Cedar City, UT: Cedar City Regional",Weather,1
"Casper, WY: Casper/Natrona County International",Weather,12
"Iron Mountain/Kingsfd, MI: Ford",Weather,4
"Hibbing, MN: Range Regional",Weather,5
"International Falls, MN: Falls International Einarson Field",Weather,2
"Escanaba, MI: Delta County",Weather,2
"Sault Ste. Marie, MI: Chippewa County International",Weather,3
"Spokane, WA: Spokane International",Weather,6
